"LINEID","PLANVERSIONID","SHORTNAME","DESCRIPTION","PLANVERSIONID","ACTIVATIONDATE","CREATIONDATE"
131,241,T31,Terminal Paso del Comercio - Universidades,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
140,241,T40,Terminal Andrés Sanín - Centro,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
2102,241,P10B,Estación Universidades-El Ingenio-Estación-Estació,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
2301,241,P30A,Estación Flora Industrial-Terminal Menga - Centro,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
2471,241,P47A,Terminal Andrés Sanín - Estación Unidad Deportiva,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
2472,241,P47B,Terminal Andrés Sanín - Estación Unidad Deportiva,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
322,241,A22,Brisas de los Áamos- Terminal Menga,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
332,241,A32,Flora Industrial - Estación Chiminangos,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
333,241,A33,Ciudadela Floralia,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
334,241,A34,Alcázares - Terminal Paso del Comercio,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
373,241,A73,Nápoles - Caldas - Terminal Cañaveralejo,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
376,241,A76,H.U.V - Terminal Cañaveralejo,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
421,241,E21,Terminal Menga - Estación Universidades,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
552,241,R52,MENGA RESERVA,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
303,241,A03,Nacional - Santa librada,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
304,241,A04,Bella Vista - Estación Manzana del saber,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1472,241,T47B,Terminal Andrés Sanín - Estación Unidad Deportiva,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
554,241,R54,SANIN RESERVA,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
3011,241,A01A,San Bosco - C.A.M - Centro,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
