"LINESTOPID","STOPSEQUENCE","ORIENTATION","LINEID","STOPID","PLANVERSIONID","LINEVARIANT","REGISTERDATE","LINEVARIANTTYPE","PLANVERSIONID","ACTIVATIONDATE","CREATIONDATE"
1452640,34,0,251,514468,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452641,35,0,251,514173,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452642,36,0,251,514276,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452643,37,0,251,514174,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452644,38,0,251,514277,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452645,39,0,251,514176,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452646,40,0,251,514485,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452647,41,0,251,514487,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452648,42,0,251,514488,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452649,43,0,251,514029,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452650,44,0,251,514030,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452651,45,0,251,514031,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452652,46,0,251,514537,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452653,47,0,251,514033,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
1452654,48,0,251,514037,241,3,2018-05-14 22:55:32.000,1,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
