========================================
REPORTE COMPLETO SISTEMA SITM-MIO
========================================

Estadísticas Generales:
  Total de Nodos: 2119
  Total de Arcos: 3974
  Total de Rutas: 181
  Velocidad Promedio General: 16,33 km/h

Resumen por Rutas:
------------------------------------------------------------
Ruta: A03-1 | Arcos: 12 | Distancia: 2,92 km | Tiempo: 11,39 min | Velocidad: 15,40 km/h
Ruta: A72B-1 | Arcos: 11 | Distancia: 2,43 km | Tiempo: 9,48 min | Velocidad: 15,40 km/h
Ruta: E21-0 | Arcos: 17 | Distancia: 15,91 km | Tiempo: 39,48 min | Velocidad: 23,68 km/h
Ruta: P24C-0 | Arcos: 40 | Distancia: 11,63 km | Tiempo: 49,85 min | Velocidad: 14,00 km/h
Ruta: P24C-1 | Arcos: 39 | Distancia: 12,09 km | Tiempo: 49,42 min | Velocidad: 14,46 km/h
Ruta: P47C-0 | Arcos: 55 | Distancia: 16,69 km | Tiempo: 66,40 min | Velocidad: 14,76 km/h
Ruta: R55-1 | Arcos: 2 | Distancia: 0,13 km | Tiempo: 0,46 min | Velocidad: 17,50 km/h
Ruta: E21-1 | Arcos: 18 | Distancia: 16,13 km | Tiempo: 39,39 min | Velocidad: 23,75 km/h
Ruta: A22-1 | Arcos: 17 | Distancia: 3,53 km | Tiempo: 13,76 min | Velocidad: 15,40 km/h
Ruta: P47C-1 | Arcos: 58 | Distancia: 15,89 km | Tiempo: 64,07 min | Velocidad: 14,52 km/h
Ruta: R51-1 | Arcos: 2 | Distancia: 0,11 km | Tiempo: 0,38 min | Velocidad: 17,50 km/h
Ruta: P51-0 | Arcos: 50 | Distancia: 16,63 km | Tiempo: 66,33 min | Velocidad: 14,72 km/h
Ruta: P51-1 | Arcos: 57 | Distancia: 17,95 km | Tiempo: 70,59 min | Velocidad: 14,84 km/h
Ruta: P52A-0 | Arcos: 32 | Distancia: 10,49 km | Tiempo: 42,55 min | Velocidad: 14,56 km/h
Ruta: A11B-1 | Arcos: 11 | Distancia: 2,98 km | Tiempo: 10,94 min | Velocidad: 16,00 km/h
Ruta: A71-1 | Arcos: 9 | Distancia: 3,16 km | Tiempo: 10,66 min | Velocidad: 16,87 km/h
Ruta: A71-0 | Arcos: 17 | Distancia: 4,34 km | Tiempo: 15,52 min | Velocidad: 16,18 km/h
Ruta: A13A-0 | Arcos: 17 | Distancia: 4,44 km | Tiempo: 17,29 min | Velocidad: 15,40 km/h
Ruta: A17C-1 | Arcos: 26 | Distancia: 11,79 km | Tiempo: 39,86 min | Velocidad: 16,92 km/h
Ruta: A13A-1 | Arcos: 10 | Distancia: 3,14 km | Tiempo: 11,64 min | Velocidad: 16,06 km/h
Ruta: P14A-1 | Arcos: 46 | Distancia: 13,13 km | Tiempo: 54,59 min | Velocidad: 14,26 km/h
Ruta: P52A-1 | Arcos: 32 | Distancia: 10,96 km | Tiempo: 42,99 min | Velocidad: 14,94 km/h
Ruta: P14A-0 | Arcos: 41 | Distancia: 13,10 km | Tiempo: 51,48 min | Velocidad: 14,88 km/h
Ruta: E52-0 | Arcos: 12 | Distancia: 10,30 km | Tiempo: 25,22 min | Velocidad: 23,75 km/h
Ruta: E52-1 | Arcos: 11 | Distancia: 8,48 km | Tiempo: 20,90 min | Velocidad: 23,64 km/h
Ruta: A19B-0 | Arcos: 17 | Distancia: 6,47 km | Tiempo: 22,82 min | Velocidad: 15,79 km/h
Ruta: A19B-1 | Arcos: 21 | Distancia: 6,99 km | Tiempo: 25,18 min | Velocidad: 15,71 km/h
Ruta: P84B-0 | Arcos: 26 | Distancia: 8,58 km | Tiempo: 34,48 min | Velocidad: 14,69 km/h
Ruta: E37-0 | Arcos: 13 | Distancia: 11,18 km | Tiempo: 27,17 min | Velocidad: 23,85 km/h
Ruta: A76-1 | Arcos: 19 | Distancia: 5,35 km | Tiempo: 20,85 min | Velocidad: 15,40 km/h
Ruta: E37-1 | Arcos: 12 | Distancia: 11,04 km | Tiempo: 26,84 min | Velocidad: 24,38 km/h
Ruta: A57-0 | Arcos: 16 | Distancia: 3,23 km | Tiempo: 12,60 min | Velocidad: 15,40 km/h
Ruta: P84B-1 | Arcos: 19 | Distancia: 6,16 km | Tiempo: 23,50 min | Velocidad: 15,26 km/h
Ruta: A57-1 | Arcos: 35 | Distancia: 9,11 km | Tiempo: 33,50 min | Velocidad: 15,59 km/h
Ruta: P21B-1 | Arcos: 40 | Distancia: 16,80 km | Tiempo: 64,35 min | Velocidad: 15,35 km/h
Ruta: P27C-1 | Arcos: 49 | Distancia: 19,87 km | Tiempo: 77,52 min | Velocidad: 14,98 km/h
Ruta: P21B-0 | Arcos: 44 | Distancia: 17,36 km | Tiempo: 66,81 min | Velocidad: 15,23 km/h
Ruta: A34-1 | Arcos: 8 | Distancia: 1,62 km | Tiempo: 6,32 min | Velocidad: 15,40 km/h
Ruta: P40A-1 | Arcos: 21 | Distancia: 7,43 km | Tiempo: 29,76 min | Velocidad: 14,86 km/h
Ruta: A11-0 | Arcos: 15 | Distancia: 5,63 km | Tiempo: 21,27 min | Velocidad: 15,84 km/h
Ruta: A53-0 | Arcos: 16 | Distancia: 4,03 km | Tiempo: 15,05 min | Velocidad: 15,81 km/h
Ruta: A53-1 | Arcos: 9 | Distancia: 2,66 km | Tiempo: 9,69 min | Velocidad: 16,13 km/h
Ruta: P40A-0 | Arcos: 23 | Distancia: 7,72 km | Tiempo: 32,26 min | Velocidad: 14,26 km/h
Ruta: P27C-0 | Arcos: 52 | Distancia: 20,04 km | Tiempo: 77,52 min | Velocidad: 15,04 km/h
Ruta: A11-1 | Arcos: 10 | Distancia: 3,36 km | Tiempo: 12,49 min | Velocidad: 16,06 km/h
Ruta: A12D-0 | Arcos: 15 | Distancia: 3,07 km | Tiempo: 11,32 min | Velocidad: 15,84 km/h
Ruta: A37B-1 | Arcos: 15 | Distancia: 4,23 km | Tiempo: 15,84 min | Velocidad: 15,84 km/h
Ruta: A12D-1 | Arcos: 14 | Distancia: 3,29 km | Tiempo: 12,04 min | Velocidad: 15,87 km/h
Ruta: A37B-0 | Arcos: 15 | Distancia: 3,92 km | Tiempo: 15,26 min | Velocidad: 15,40 km/h
Ruta: A41C-1 | Arcos: 16 | Distancia: 4,51 km | Tiempo: 17,59 min | Velocidad: 15,40 km/h
Ruta: A06-0 | Arcos: 21 | Distancia: 5,41 km | Tiempo: 21,08 min | Velocidad: 15,40 km/h
Ruta: A72A-1 | Arcos: 18 | Distancia: 4,30 km | Tiempo: 16,75 min | Velocidad: 15,40 km/h
Ruta: A06-1 | Arcos: 24 | Distancia: 6,13 km | Tiempo: 23,31 min | Velocidad: 15,67 km/h
Ruta: E41-0 | Arcos: 15 | Distancia: 14,94 km | Tiempo: 37,13 min | Velocidad: 23,00 km/h
Ruta: E41-1 | Arcos: 14 | Distancia: 14,95 km | Tiempo: 37,09 min | Velocidad: 23,39 km/h
Ruta: E27B-0 | Arcos: 10 | Distancia: 6,21 km | Tiempo: 17,18 min | Velocidad: 19,75 km/h
Ruta: A45B-0 | Arcos: 25 | Distancia: 6,32 km | Tiempo: 24,62 min | Velocidad: 15,40 km/h
Ruta: E27B-1 | Arcos: 10 | Distancia: 6,42 km | Tiempo: 17,33 min | Velocidad: 21,25 km/h
Ruta: A45B-1 | Arcos: 13 | Distancia: 3,49 km | Tiempo: 13,60 min | Velocidad: 15,40 km/h
Ruta: A21-0 | Arcos: 8 | Distancia: 2,55 km | Tiempo: 8,76 min | Velocidad: 16,23 km/h
Ruta: R54-1 | Arcos: 8 | Distancia: 0,48 km | Tiempo: 1,64 min | Velocidad: 17,50 km/h
Ruta: A02-0 | Arcos: 15 | Distancia: 4,21 km | Tiempo: 16,39 min | Velocidad: 15,40 km/h
Ruta: T42-0 | Arcos: 34 | Distancia: 14,57 km | Tiempo: 35,26 min | Velocidad: 23,12 km/h
Ruta: A02-1 | Arcos: 18 | Distancia: 5,45 km | Tiempo: 19,40 min | Velocidad: 16,50 km/h
Ruta: T42-1 | Arcos: 34 | Distancia: 14,33 km | Tiempo: 34,63 min | Velocidad: 23,12 km/h
Ruta: A21-1 | Arcos: 9 | Distancia: 2,63 km | Tiempo: 9,53 min | Velocidad: 16,13 km/h
Ruta: A70-1 | Arcos: 17 | Distancia: 5,44 km | Tiempo: 20,13 min | Velocidad: 15,79 km/h
Ruta: D51-1 | Arcos: 27 | Distancia: 6,36 km | Tiempo: 21,82 min | Velocidad: 17,50 km/h
Ruta: P10D-1 | Arcos: 27 | Distancia: 10,04 km | Tiempo: 39,29 min | Velocidad: 15,11 km/h
Ruta: P10D-0 | Arcos: 39 | Distancia: 14,71 km | Tiempo: 57,75 min | Velocidad: 14,92 km/h
Ruta: A42B-1 | Arcos: 11 | Distancia: 3,42 km | Tiempo: 13,34 min | Velocidad: 15,40 km/h
