    "STOPID","PLANVERSIONID","SHORTNAME","LONGNAME","GPS_X","GPS_Y","DECIMALLONGITUDE","DECIMALLATITUDE","PLANVERSIONID","ACTIVATIONDATE","CREATIONDATE"
511409,241,K109C421,Kr 109 con Cl 42,-763106233,32130942,-76.51839806,3.358595,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511412,241,K109C423,Kr 109 con Cl 42,-763105815,32131175,-76.51828194,3.35865972,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511413,241,C42K1121,Cl 42 entre Kr 109 y 112,-763113538,32122837,-76.52042722,3.35634361,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511414,241,C42K1122,Cl 42 entre Kr 112 y 114A,-763113537,32116198,-76.52042694,3.35449944,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511415,241,K114AC42,Kr 114A entre Cl 42 y 25,-763122932,32115784,-76.52303667,3.35438444,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511416,241,C48K94,Cl 48 entre Kr 94 y 95,-763059955,32229440,-76.51665417,3.37484444,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511417,241,C48K96,Cl 48 entre Kr 96 y 97,-763059895,32220391,-76.5166375,3.37233083,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511419,241,K86C35,Kr 86 entre Cl 35 y 34,-763116029,32245333,-76.52111917,3.37925917,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511420,241,K85CC33,Kr 85C entre Cl 33 y 28,-763123660,32248358,-76.52323889,3.38009944,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511421,241,K85CC18,Kr 85C entre Cl 18 y 17,-763138385,32249478,-76.52732917,3.38041056,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511422,241,C16K85B,Cl 16 entre Cr 85B y 85A,-763143473,32252790,-76.5287425,3.38133056,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511423,241,C16K83C,Cl 16 entre Kr 83C y 83B,-763142818,32303226,-76.52856056,3.38422944,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511424,241,C16K73,Cl 16 entre Kr 73 y 76,-763142452,32322727,-76.52845889,3.38964639,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511425,241,C16K83,Cl 16 entre Kr 83B y 83C,-763143595,32303113,-76.52877639,3.38419806,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511426,241,C16K85,Cl 16 entre Kr 85 y 85A,-763144054,32255002,-76.52890389,3.381945,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511427,241,K86C25,Kr 86 entre Cl 25 y 28,-763125128,32244725,-76.52364667,3.37909028,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511428,241,K86C34,Kr 86 entre Cl 34 y 42,-763118454,32244387,-76.52179278,3.37899639,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511429,241,R-SUR 1,Resesrva Sur 1,-763137590,32157178,-76.52710833,3.36588278,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511430,241,R-SUR 2,Reserva Sur 2,-763135849,32156358,-76.52662472,3.365655,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511431,241,R-SUR 3,Reserva Sur 3,-763136627,32157800,-76.52684083,3.36605556,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511432,241,C4K95,C4 entre K95 y 96,-763250131,32225309,-76.54725861,3.37369694,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511433,241,C4K96,C4 entre K96 y 98,-763249832,32219194,-76.54717556,3.37199833,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
511434,241,K98AC2D,Kr 98A con Cl 2D,-763303630,32217100,-76.55100833,3.37141667,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
